"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Slew Rate Control,Drive Strength
A2,PC30,,Available,In,,,,,,,,
A3,PC2,,Available,In,,,,,,,,
A4,PC4,,Available,In,,,,,,,,
A5,PC6,,Available,In,,,,,,,,
A7,PC10,,Available,In,,,,,,,,
A8,PC12,,Available,In,,,,,,,,
A9,PB19,,Available,In,,,,,,,,
A10,PB17,,Available,In,,,,,,,,
A11,PB16,,Available,In,,,,,,,,
B1,PC28,,Available,In,,,,,,,,
B3,PC3,,Available,In,,,,,,,,
B4,PC5,,Available,In,,,,,,,,
B5,PC7,,Available,In,,,,,,,,
B7,PC11,,Available,In,,,,,,,,
B8,PC13,,Available,In,,,,,,,,
B9,PB21,,Available,In,,,,,,,,
B10,PB24,,Available,In,,,,,,,,
B11,PB20,,Available,In,,,,,,,,
C1,PC24,,Available,In,,,,,,,,
C2,PC26,,Available,In,,,,,,,,
C4,PC25,,Available,In,,,,,,,,
C5,PC27,,Available,In,,,,,,,,
C7,PB15,,Available,In,,,,,,,,
C8,PB23,,Available,In,,,,,,,,
C10,PB18,,Available,In,,,,,,,,
C11,PB26,,Available,In,,,,,,,,
C17,PD5,,Available,In,,,,,,,,
D1,PC20,LED_BLUE,LED_AH,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
D2,PC22,,Available,In,,,,,,,,
D3,PC21,LED_GREEN,LED_AH,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
D5,PC29,,Available,In,,,,,,,,
D7,PC31,,Available,In,,,,,,,,
D8,PB25,,Available,In,,,,,,,,
D10,PB22,,Available,In,,,,,,,,
D16,PD10,,Available,In,,,,,,,,
D17,PB8,,GMAC_GRXCK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
E1,PC16,,Available,In,,,,,,,,
E2,PC18,,Available,In,,,,,,,,
E3,PC15,,Available,In,,,,,,,,
E4,PC23,,Available,In,,,,,,,,
E16,PD14,,Available,In,,,,,,,,
E17,PB14,,GMAC_GTX1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
F2,PC14,LED_RED,LED_AH,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
F16,PB6,,GMAC_GTXCK/GREFCK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
G1,PC8,,Available,In,,,,,,,,
G2,PC0,,Available,In,,,,,,,,
G3,PC19,,Available,In,,,,,,,,
G4,PC17,,Available,In,,,,,,,,
G15,PD3,,Available,In,,,,,,,,
G16,PB0,,GMAC_GRX2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
G17,PA8,,Available,In,,,,,,,,
H3,PC9,USER_BUTTON,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Disabled,No,Low
H4,PC1,,Available,In,,,,,,,,
H14,PD1,,Available,In,,,,,,,,
H15,PD8,,Available,In,,,,,,,,
H16,PB2,,GMAC_G125CK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
H17,PA0,,Available,In,,,,,,,,
J16,PB4,,GMAC_GTX2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
J17,PA4,,Available,In,,,,,,,,
K15,PD12,,Available,In,,,,,,,,
K16,PB10,,GMAC_GMDC,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
K17,PA2,,Available,In,,,,,,,,
L5,PA29,,Available,In,,,,,,,,
L13,PA5,,Available,In,,,,,,,,
L14,PA11,,Available,In,,,,,,,,
L15,PB1,,GMAC_GRX3,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
L16,PB12,,GMAC_GRX1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
L17,PA6,,Available,In,,,,,,,,
M16,PA10,,Available,In,,,,,,,,
N4,PA26,,DBGU_DRXD,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
N11,PD0,,Available,In,,,,,,,,
N14,PD11,,Available,In,,,,,,,,
N15,PB5,,GMAC_GTX3,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
N16,PB13,,GMAC_GTX0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
N17,PA19,,Available,In,,,,,,,,
P8,PD13,,Available,In,,,,,,,,
P10,PD4,,Available,In,,,,,,,,
P11,PD2,,Available,In,,,,,,,,
P13,PD6,,Available,In,,,,,,,,
P15,PD7,,Available,In,,,,,,,,
P16,PA3,,Available,In,,,,,,,,
P17,PA17,,Available,In,,,,,,,,
R1,PA31,,Available,In,,,,,,,,
R2,PA25,,Available,In,,,,,,,,
R4,PA24,,Available,In,,,,,,,,
R5,PA12,,Available,In,,,,,,,,
R8,PB3,,GMAC_GCRSDV/GRXCTL,n/a,n/a,No,Disabled,Yes,No,Disabled,No,Low
R11,PD9,,Available,In,,,,,,,,
R13,PB7,,GMAC_GTXEN/GTXCTL,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
R14,PB9,,GMAC_GMDIO,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
R16,PA21,,Available,In,,,,,,,,
R17,PA18,,Available,In,,,,,,,,
T1,PA27,,DBGU_DTXD,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
T3,PA30,,Available,In,,,,,,,,
T4,PA28,,Available,In,,,,,,,,
T5,PA14,,Available,In,,,,,,,,
T7,PA7,,Available,In,,,,,,,,
T8,PB11,,GMAC_GRX0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
T9,PA1,,Available,In,,,,,,,,
T10,PA15,,Available,In,,,,,,,,
T11,PA9,,Available,In,,,,,,,,
U7,PA20,,Available,In,,,,,,,,
U8,PA16,,Available,In,,,,,,,,
U9,PA23,,Available,In,,,,,,,,
U10,PA22,,Available,In,,,,,,,,
U11,PA13,,Available,In,,,,,,,,
